tema,pregunta,respuesta,dificultad
"Microsoft 365","Que es un equipo en Microsoft Teams?","Un conjunto de personas, contenido y herramientas organizadas para colaborar.","baja"
"Microsoft 365","Para que sirven los canales dentro de un equipo de Teams?","Para organizar el trabajo del equipo por materias, proyectos o unidades.","baja"
"Microsoft 365","Diferencia entre un canal y un chat en Teams?","El canal es un espacio de trabajo estructurado dentro de un equipo; el chat es una conversacion directa o de grupo, mas informal y puntual.","media"
"Microsoft 365","Donde se almacenan habitualmente los archivos de un canal de Teams?","En SharePoint.","media"
"Microsoft 365","Que tipos de canal existen en Teams?","General, estandar, privado y compartido.","media"
"Microsoft 365","Para que sirve Reunirse ahora en Teams?","Para iniciar una reunion inmediata, sin necesidad de programarla.","baja"
"Microsoft 365","Que rol de una reunion de Teams tiene mayor nivel de control?","El organizador.","media"
"Microsoft 365","Que puede hacer el presentador en una reunion de Teams?","Compartir contenido y realizar acciones de presentacion.","media"
"Microsoft 365","Que controla la sala de espera en una reunion de Teams?","La entrada o admision de los asistentes a la reunion.","media"
"Microsoft 365","Para que sirven las salas de trabajo en una reunion de Teams?","Para dividir a los participantes en grupos pequenos durante la reunion.","media"
"Microsoft 365","Solo pueden celebrarse reuniones de Teams entre miembros de la misma organizacion?","No, pueden participar invitados o externos si la organizacion lo permite.","media"
"Microsoft 365","Donde suele almacenarse la grabacion de una reunion ordinaria de Teams?","En OneDrive del organizador, o en SharePoint si es una reunion de canal.","alta"
"Microsoft 365","Que es SharePoint?","La plataforma de Microsoft para organizar, compartir y colaborar con informacion y documentos de forma segura dentro de una organizacion.","baja"
"Microsoft 365","Que aplicaciones no deben confundirse con SharePoint?","PowerPoint, Publisher y Visual Studio.","media"
"Microsoft 365","Que es una biblioteca de documentos en SharePoint?","Un repositorio de archivos que permite subirlos, compartirlos, controlar permisos y ver el historial de versiones.","baja"
"Microsoft 365","Diferencia entre biblioteca de documentos y lista de SharePoint?","La biblioteca almacena archivos; la lista almacena datos estructurados en filas y columnas.","media"
"Microsoft 365","Para que se orienta un sitio de equipo en SharePoint?","Para la colaboracion interna de un grupo o proyecto.","media"
"Microsoft 365","Para que se orienta un sitio de comunicacion en SharePoint?","Para difundir informacion a una audiencia amplia.","media"
"Microsoft 365","Que es OneDrive?","El servicio de almacenamiento en la nube de Microsoft para archivos personales, con sincronizacion y comparticion.","baja"
"Microsoft 365","Que significa que un archivo este Solo en linea en OneDrive?","Que se ve en el Explorador de archivos pero se descarga al abrirlo (archivo a peticion).","alta"
"Microsoft 365","Que permite la sincronizacion de archivos de SharePoint mediante OneDrive?","Trabajar con los archivos desde el equipo local y sincronizar automaticamente los cambios con SharePoint.","media"
"Microsoft 365","Sincronizar con OneDrive obliga a trabajar solo desde el navegador?","No, permite trabajar tambien desde el equipo local, incluso sin conexion.","media"
"Microsoft 365","Que es la coautoria en Microsoft 365?","Que varias personas trabajen y editen a la vez el mismo documento compartido.","baja"
